Player Name,Team,Age,pos,Salary,GS,W,L,OTL,GA,SA,SV,SV%,GAA,SHO,QS,RBS,VOR,Rank,FP,Fantasy Team,GP Org,,,playerId
Thatcher Demko,VAN,30,G,"$5,000,000",32,14,14,4,95,943,848,0.899,2.97,2,0,0,107,33,124,,45,32.188,34.664,8477967
Alex Nedeljkovic,SJS,30,G,"$2,500,000",24,8,13,3,85,751,666,0.887,3.53,1,0,0,-462,67,83,,32,23.815,23.815,8477968
Vitek Vanecek,UTA,30,G,"$1,500,000",19,9,8,2,58,471,413,0.877,3.04,1,0,0,-486,68,56,,10,18.755,18.755,8477970
Jonas Johansson,TBL,30,G,"$1,250,000",15,8,5,1,43,416,373,0.896,2.88,1,0,0,-215,61,58,,20,15.105,15.105,8477992
Elvis Merzlikins,CBJ,31,G,"$5,400,000",32,14,14,4,104,961,857,0.892,3.25,2,0,0,-98,51,118,,44,31.528,31.528,8478007
Ilya Sorokin,NYI,30,G,"$8,250,000",40,20,16,4,112,1096,985,0.898,2.79,2,0,0,327,17,150,,59,39.704,39.704,8478009
Igor Shesterkin,NYR,30,G,"$11,500,000",44,23,17,4,112,1240,1128,0.910,2.55,3,0,0,692,2,184,,59,43.670,43.670,8478048
Mackenzie Blackwood,COL,29,G,"$5,250,000",33,22,9,2,77,862,785,0.911,2.33,2,0,0,635,3,143,,48,33.117,33.117,8478406
Dan Vladar,PHI,28,G,"$3,350,000",26,13,11,3,68,668,600,0.899,2.60,1,0,0,110,32,92,,35,26.220,26.220,8478435
Sam Montembeault,MTL,29,G,"$3,150,000",38,18,16,4,112,1009,897,0.889,2.94,2,0,0,87,36,129,,49,37.584,37.584,8478470
Adin Hill,VGK,29,G,"$6,250,000",33,19,11,3,82,817,735,0.900,2.48,2,0,0,351,15,122,,45,33.48,35.340,8478499
Karel Vejmelka,UTA,29,G,"$4,750,000",38,20,14,4,107,942,835,0.887,2.81,2,0,0,116,30,124,,49,38.225,38.225,8478872
Joey Daccord,SEA,29,G,"$5,000,000",44,20,19,5,116,1223,1107,0.905,2.63,2,0,0,543,7,172,,48,44.254,44.254,8478916
Casey DeSmith,DAL,34,G,"$1,000,000",18,10,6,2,47,499,452,0.906,2.61,1,0,0,89,35,75,,22,17.528,17.528,8479193
Charlie Lindgren,WSH,32,G,"$3,000,000",23,13,8,2,63,593,530,0.894,2.74,1,0,0,-28,41,83,,38,23.408,23.408,8479292
Alex Lyon,BUF,33,G,"$1,500,000",29,14,12,3,86,855,769,0.899,2.97,2,0,0,64,38,114,,18,28.952,28.952,8479312
Joseph Woll,TOR,27,G,"$3,666,667",34,17,13,3,98,1040,942,0.906,2.88,2,0,0,326,18,146,,41,34.257,34.257,8479361
Filip Gustavsson,MIN,27,G,"$3,750,000",40,20,16,4,108,1188,1081,0.909,2.69,2,0,0,557,6,173,,52,39.872,39.872,8479406
David Rittich,NYI,33,G,"$1,000,000",21,10,9,2,62,576,514,0.892,2.95,1,0,0,-204,59,74,,20,20.944,20.944,8479496
Stuart Skinner,EDM,27,G,"$2,600,000",39,19,16,4,113,1019,905,0.889,2.91,2,0,0,116,29,130,,50,39.368,39.368,8479973
Jake Oettinger,DAL,27,G,"$8,250,000",39,22,14,3,104,1081,977,0.904,2.67,2,0,0,488,9,158,,58,38.584,38.584,8479979
Ukko-Pekka Luukkonen,BUF,26,G,"$4,750,000",33,16,14,3,99,973,874,0.898,3.01,2,0,0,114,31,128,,45,33.264,33.264,8480045
Daniil Tarasov,FLA,26,G,"$1,050,000",16,9,6,1,42,416,374,0.899,2.63,1,0,0,-65,47,60,,28,15.602,15.602,8480193
Jeremy Swayman,BOS,27,G,"$8,250,000",38,18,16,4,109,1131,1022,0.904,2.86,2,0,0,358,14,156,,48,37.785,37.785,8480280
Logan Thompson,WSH,28,G,"$5,850,000",34,21,11,3,83,877,793,0.905,2.45,2,0,0,487,10,136,,45,34.048,34.048,8480313
Lukas Dostal,ANA,25,G,"$6,500,000",32,15,13,3,97,972,875,0.900,3.04,2,0,0,120,27,129,,48,32.34,36.960,8480843
Kevin Lankinen,VAN,30,G,"$4,500,000",34,14,16,4,108,1002,894,0.892,3.17,2,0,0,-44,44,123,,38,34.048,34.048,8480947
Joel Hofer,STL,25,G,"$3,400,000",21,10,9,2,58,574,516,0.899,2.76,1,0,0,-41,43,78,,30,20.735,20.735,8480981
Justus Annunen,NSH,25,G,"$837,500",18,8,8,2,57,494,437,0.885,3.16,1,0,0,-454,66,58,,22,18.069,18.069,8481020
Akira Schmid,VGK,25,G,"$875,000",27,15,9,2,69,668,599,0.897,2.56,2,0,0,151,25,97,,30,26.619,26.619,8481033
Samuel Ersson,PHI,26,G,"$1,450,000",33,14,15,4,99,848,748,0.883,3.01,2,0,0,-166,57,100,,39,32.889,32.889,8481035
Spencer Knight,CHI,24,G,"$4,500,000",30,14,13,3,86,919,833,0.907,2.86,2,0,0,233,20,127,,42,29.640,29.640,8481519
Colten Ellis,BUF,25,G,"$775,000",18,9,7,2,53,531,478,0.901,2.93,1,0,0,-118,54,72,,35,17.808,17.808,8481551
Pyotr Kochetkov,CAR,26,G,"$2,000,000",33,20,10,3,86,805,719,0.893,2.61,2,0,0,221,21,117,,38,33.426,35.283,8481611
Arturs Silovs,PIT,24,G,"$850,000",20,9,9,2,60,576,516,0.896,2.99,1,0,0,-178,58,75,,30,20.007,20.007,8481668
Dustin Wolf,CGY,24,G,"$850,000",38,17,17,4,111,1069,958,0.896,2.92,2,0,0,183,24,139,,50,37.950,37.950,8481692
Yaroslav Askarov,SJS,23,G,"$2,000,000",32,13,15,4,102,1002,900,0.898,3.18,1,0,0,0,40,125,,45,32.230,32.230,8482137
Devin Cooley,CGY,28,G,"$775,000",13,6,5,1,34,366,331,0.906,2.64,1,0,0,-50,45,52,,25,13.365,13.365,8482445
Leevi Merilainen,OTT,23,G,"$1,050,000",20,10,8,2,53,518,465,0.897,2.66,1,0,0,-40,42,72,,30,19.836,19.836,8482447
Jakub Dobes,MTL,24,G,"$965,000",23,12,9,2,65,610,546,0.894,2.81,1,0,0,-78,48,82,,33,23.374,23.374,8482487
Jesper Wallstedt,MIN,23,G,"$2,200,000",16,8,6,2,43,475,433,0.910,2.67,1,0,0,68,37,70,,30,16.464,16.464,8482661
Carl Lindbom,VGK,22,G,"$840,000",17,9,6,2,45,421,376,0.894,2.63,1,0,0,-122,55,59,,35,16.986,16.986,8482761
Arvid Soderblom,CHI,26,G,"$2,750,000",22,8,11,3,75,674,599,0.889,3.41,1,0,0,-418,64,77,,20,22.002,22.002,8482821
Jet Greaves,CBJ,24,G,"$812,500",37,18,15,4,107,1111,1004,0.904,2.88,2,0,0,345,16,154,,35,36.680,36.680,8482982
Brandon Bussi,CAR,27,G,"$775,000",16,10,5,1,41,390,349,0.895,2.56,1,0,0,-86,49,58,,35,15.618,15.618,8483548
Dennis Hildeby,TOR,24,G,"$841,667",14,7,6,1,41,428,387,0.904,2.93,1,0,0,-153,56,59,,35,14.421,14.421,8483710
